Species	Kingdom	Class	Size (Mb)	GC%	Number of genes	Number of proteins	Publication year	Assembly status
Dictyostelium discoideum AX4	Protists	Other Protists	34.205	22.4631	13961	13315	2005	Chromosome
Guillardia theta CCMP2712	Other	Other	87.1453	52.9	24923	24822	2012	Scaffold
Thalassiosira pseudonana CCMP1335	Other	Other	32.4374	46.905	11771	11673	2004	Chromosome
Fusarium graminearum PH-1	Fungi	Ascomycetes	36.458	48.3278	13701	13313	2003	Chromosome
Saccharomyces bayanus 623-6C	Fungi	Ascomycetes	11.8653	40.2	-	-	2003	Scaffold
Saccharomyces mikatae IFO 1815	Fungi	Ascomycetes	11.4703	38	-	-	2003	Contig
Cryptococcus neoformans var. neoformans JEC21	Fungi	Basidiomycetes	19.0519	48.5368	7004	6863	2005	Chromosome
Pyricularia oryzae 70-15	Fungi	Ascomycetes	40.9791	51.5882	13184	12989	2003	Chromosome
Plasmodium yoelii	Protists	Apicomplexans	22.7559	21.9037	5815	5653	2014	Chromosome
Takifugu rubripes	Animals	Fishes	391.485	45.8414	23164	31052	2002	Chromosome
Ciona savignyi	Animals	Other Animals	587.3530000000002	37.5	-	-	2003	Scaffold
Saccharomyces paradoxus	Fungi	Ascomycetes	12.2147	38.242	-	-	2017	Chromosome
Saccharomyces kudriavzevii	Fungi	Ascomycetes	11.8514	39.6269	-	-	2018	Chromosome
Naumovozyma castellii CBS 4309	Fungi	Ascomycetes	11.2195	36.7559	5867	5589	2011	Chromosome
Lachancea kluyveri NRRL Y-12651	Fungi	Ascomycetes	11.5091	41.6535	-	-	2003	Chromosome
Ustilago maydis 521	Fungi	Basidiomycetes	19.6644	54.0121	6909	6782	2003	Chromosome
Coprinopsis cinerea okayama7#130	Fungi	Basidiomycetes	36.1926	51.6	13651	13356	2003	Contig
Rattus norvegicus	Animals	Mammals	2870.18	42.3282	39365	56113	2002	Chromosome
Branchiostoma floridae	Animals	Other Animals	521.895	41.8	28627	28623	2008	Scaffold
Bombyx mori	Animals	Insects	481.819	38.7993	16166	22571	2008	Scaffold
Eremothecium gossypii ATCC 10895	Fungi	Ascomycetes	9.11931	51.6989	5356	4776	2004	Complete Genome
Coffea arabica	Plants	Land Plants	1094.45	36.9585	54774	67222	2018	Chromosome
Felis catus	Animals	Mammals	2521.86	41.8806	35234	54726	2006	Chromosome
Cyanidioschyzon merolae strain 10D	Other	Other	16.5467	55.0171	5373	4803	2004	Complete Genome
Xenopus tropicalis	Animals	Amphibians	1440.4	40.5404	26496	39715	2009	Chromosome
Xenopus laevis	Animals	Amphibians	2718.43	40.2325	36776	56817	2016	Chromosome
Bos taurus	Animals	Mammals	2715.85	41.9362	34966	63696	2017	Chromosome
Ovis aries	Animals	Mammals	2869.91	41.9088	33125	42391	2017	Chromosome
Canis lupus familiaris	Animals	Mammals	2410.98	41.3022	36809	58776	2004	Chromosome
Strongylocentrotus purpuratus	Animals	Other Animals	990.915	38.3	31871	35804	2005	Scaffold
Lachancea waltii NCYC 2644	Fungi	Ascomycetes	10.9121	44.3	-	-	2004	Contig
Coccidioides posadasii C735 delta SOWgp	Fungi	Ascomycetes	27.0134	46.6	7253	7227	2009	Contig
Lotus japonicus	Plants	Land Plants	394.455	36.6	-	-	2008	Contig
Populus trichocarpa	Plants	Land Plants	434.29	34.1468	37197	51717	2006	Chromosome
Sus scrofa	Animals	Mammals	2501.91	41.971	30173	63577	2008	Chromosome
Sorghum bicolor	Plants	Land Plants	709.345	44.1611	32910	39248	2009	Chromosome
Ornithorhynchus anatinus	Animals	Mammals	1995.61	45.6584	22225	24786	2006	Chromosome
Gallus gallus	Animals	Birds	1065.37	42.3032	24354	49681	2004	Chromosome
Meleagris gallopavo	Animals	Birds	1128.34	41.7145	26351	33312	2010	Chromosome
Coturnix japonica	Animals	Birds	927.657	41.3684	20441	39088	2016	Chromosome
Eudromia elegans	Animals	Birds	955.515	41.8	-	-	2018	Scaffold
Apteryx haastii	Animals	Birds	1221.44	40.8	-	-	2018	Scaffold
Pterocnemia pennata	Animals	Birds	1168.29	40.3	-	-	2018	Scaffold
Struthio camelus australis	Animals	Birds	1225.04	41.2	15935	24486	2014	Scaffold
Dromaius novaehollandiae	Animals	Birds	1192.25	41.7	18779	31311	2018	Scaffold
Casuarius casuarius	Animals	Birds	1209.0	41.4	-	-	2018	Scaffold
Ciconia boyciana	Animals	Birds	1364.95	43.6	-	-	2016	Scaffold
Falco peregrinus	Animals	Birds	1171.97	41.8	18906	31140	2013	Scaffold
Rhea americana	Animals	Birds	1160.84	40.2	-	-	2018	Scaffold
Equus caballus	Animals	Mammals	2506.97	41.5271	32847	60900	2007	Chromosome
Gasterosteus aculeatus	Animals	Fishes	446.611	44.6	-	-	2006	Contig
Chlamydomonas reinhardtii	Plants	Green Algae	120.405	61.9512	14488	14488	2007	Scaffold
Drosophila yakuba	Animals	Insects	165.71	42.3955	16079	23317	2004	Chromosome
Tetraodon nigroviridis	Animals	Fishes	342.403	46.6	27918	27918	2004	Scaffold
[Candida] glabrata	Fungi	Ascomycetes	12.3383	38.6198	5458	5213	2004	Chromosome
Yarrowia lipolytica CLIB122	Fungi	Ascomycetes	20.5509	48.9801	7144	6472	2004	Chromosome
Kluyveromyces lactis	Fungi	Ascomycetes	10.7294	38.7053	5335	5085	2004	Complete Genome
Oreochromis niloticus	Animals	Fishes	1005.68	40.7187	40833	61679	2016	Chromosome
Ictalurus punctatus	Animals	Fishes	783.275	39.8391	27156	47978	2016	Chromosome
Debaryomyces hansenii CBS767	Fungi	Ascomycetes	12.1819	36.3369	6495	6286	2004	Chromosome
Oncorhynchus mykiss	Animals	Fishes	2179.0	43.4865	50965	71224	2017	Chromosome
Drosophila simulans	Animals	Insects	124.964	42.9696	15242	24132	2014	Chromosome
Pan troglodytes	Animals	Mammals	3050.4	40.8082	40592	80811	2004	Chromosome
Brassica napus	Plants	Land Plants	976.191	37.4074	119453	123467	2014	Chromosome
Kazachstania servazzii	Fungi	Ascomycetes	12.8368	34.9	-	-	2017	Contig
Zygosaccharomyces rouxii	Fungi	Ascomycetes	9.76464	39.1509	5323	4991	2009	Chromosome
Lachancea thermotolerans CBS 6340	Fungi	Ascomycetes	10.3929	47.2838	5384	5092	2009	Chromosome
Millerozyma farinosa	Fungi	Ascomycetes	21.2555	41.1	-	-	2017	Contig
Candida tropicalis MYA-3404	Fungi	Ascomycetes	14.6301	33.2	6441	6254	2005	Scaffold
Tribolium castaneum	Animals	Insects	165.94400000000005	35.1887	14405	22611	2005	Chromosome
Drosophila pseudoobscura pseudoobscura	Animals	Insects	152.696	45.3281	16721	23456	2003	Chromosome
Macaca mulatta	Animals	Mammals	3236.22	41.2014	33215	55363	2014	Chromosome
Monodelphis domestica	Animals	Mammals	3598.44	38.1446	37096	49112	2004	Chromosome
Phytophthora sojae	Protists	Other Protists	82.5976	54.4	28142	26489	2006	Scaffold
Loxodonta africana	Animals	Mammals	3196.74	40.9	28553	41267	2005	Scaffold
Beta vulgaris subsp. vulgaris	Plants	Land Plants	566.55	37.305	27429	32874	2013	Chromosome
Tetrahymena thermophila SB210	Protists	Other Protists	103.014	22.3	53992	53992	2005	Scaffold
Phytophthora ramorum	Protists	Other Protists	60.25	54.4	-	-	2018	Scaffold
Sorex araneus	Animals	Mammals	2423.16	43.4	21961	23427	2005	Scaffold
Erinaceus europaeus	Animals	Mammals	2715.72	42.4999	22541	29382	2012	Scaffold
Brassica rapa	Plants	Land Plants	284.129	35.826	48731	52553	2011	Chromosome
Nematostella vectensis	Animals	Other Animals	356.6140000000001	41.9	26782	24780	2007	Scaffold
Cavia porcellus	Animals	Mammals	2723.22	40.1	31350	37362	2005	Scaffold
Schmidtea mediterranea	Animals	Flatworms	942.042	29.7	-	-	2017	Scaffold
Notamacropus eugenii	Animals	Mammals	3075.18	40.4	-	-	2008	Scaffold
Echinops telfairi	Animals	Mammals	2947.02	43.6	25811	22926	2005	Scaffold
Dasypus novemcinctus	Animals	Mammals	3631.52	41.5	40259	38178	2005	Scaffold
Schistosoma mansoni	Animals	Flatworms	364.538	35.2771	13221	11713	2011	Chromosome
Schistosoma japonicum	Animals	Flatworms	402.74300000000005	35.2	-	-	2009	Scaffold
Trichinella spiralis	Animals	Roundworms	63.5254	35.1	16549	16380	2007	Scaffold
Fasciola hepatica	Animals	Flatworms	1203.65	44.2	-	-	2018	Scaffold
Histoplasma capsulatum NAm1	Fungi	Ascomycetes	33.0303	46.3	9402	9313	2005	Scaffold
Drosophila ananassae	Animals	Insects	230.993	42.5	15614	21191	2006	Scaffold
Pristionchus pacificus	Animals	Roundworms	154.958	42.8	24925	24925	2009	Contig
Neospora caninum Liverpool	Protists	Apicomplexans	57.5474	54.8511	7084	6934	2011	Chromosome
Leishmania infantum JPCM5	Protists	Kinetoplasts	32.1221	59.5663	8366	8150	2007	Chromosome
Plasmodium reichenowi	Protists	Apicomplexans	20.5017	19.8559	5218	5279	2016	Chromosome
Drosophila erecta	Animals	Insects	146.53799999999995	42.4	14565	23135	2018	Contig
Drosophila willistoni	Animals	Insects	235.516	37.8	14656	18834	2006	Scaffold
Caenorhabditis japonica	Animals	Roundworms	166.25599999999997	39.9	-	-	2008	Scaffold
Caenorhabditis remanei	Animals	Roundworms	145.44299999999996	38.5	32412	31476	2005	Scaffold
Caenorhabditis brenneri	Animals	Roundworms	190.37	39.7	32215	30670	2007	Scaffold
Blastomyces dermatitidis ER-3	Fungi	Ascomycetes	66.6087	37.1	10081	11539	2009	Scaffold
Drosophila grimshawi	Animals	Insects	200.468	38.8	15544	14986	2006	Scaffold
Trichomonas vaginalis G3	Protists	Other Protists	176.42	32.9	60143	59679	2005	Scaffold
Drosophila mojavensis	Animals	Insects	193.826	40.2	14470	20110	2006	Scaffold
Meloidogyne hapla	Animals	Roundworms	53.01300000000001	27.4	-	-	2008	Contig
Drosophila virilis	Animals	Insects	206.027	40.7	14717	20548	2006	Scaffold
Drosophila persimilis	Animals	Insects	195.513	45	15664	20342	2018	Contig
Physarum polycephalum	Protists	Other Protists	205.176	41.9	-	-	2013	Scaffold
Drosophila sechellia	Animals	Insects	166.592	42.4982	17135	16484	2005	Scaffold
Naegleria gruberi	Protists	Other Protists	40.9641	35	16620	15711	2009	Scaffold
Clavispora lusitaniae ATCC 42720	Fungi	Ascomycetes	12.1149	44.5	6133	5936	2005	Scaffold
Paramecium tetraurelia	Protists	Other Protists	72.0945	28.2	39581	39580	2006	Scaffold
Meyerozyma guilliermondii ATCC 6260	Fungi	Ascomycetes	10.61	43.8	6062	5920	2005	Scaffold
Acanthamoeba castellanii str. Neff	Protists	Other Protists	42.0198	57.8	15655	14974	2012	Scaffold
Perkinsus marinus ATCC 50983	Protists	Other Protists	86.6051	47.4	25182	23654	2007	Scaffold
Meloidogyne incognita	Animals	Roundworms	183.532	-	-	-	2017	Scaffold
Petromyzon marinus	Animals	Fishes	1130.42	44.4	-	-	2017	Scaffold
Daphnia pulex	Animals	Other Animals	197.206	42.4	30612	30611	2011	Scaffold
Phytophthora infestans T30-4	Protists	Other Protists	228.544	50.6	19150	17797	2006	Scaffold
Blastocystis hominis	Protists	Other Protists	18.8172	45.3	6020	6020	2010	Scaffold
Cyanophora paradoxa	Protists	Other Protists	99.9404	63.4	-	-	2019	Contig
Chaetomium globosum CBS 148.51	Fungi	Ascomycetes	34.8869	55.4	11228	11048	2005	Scaffold
Euglena gracilis var. bacillaris	Protists	Other Protists	41.1958	50.3	-	-	2016	Contig
Oryctolagus cuniculus	Animals	Mammals	2737.46	44.0526	29098	38463	2005	Chromosome
Lodderomyces elongisporus NRRL YB-4239	Fungi	Ascomycetes	15.5473	37	5908	5799	2006	Scaffold
Coccidioides immitis RS	Fungi	Ascomycetes	29.016	46	9905	9910	2004	Scaffold
Rhizopus oryzae 99-892	Fungi	Other Fungi	39.0638	35.4	-	-	2014	Scaffold
Trichoderma reesei QM6a	Fungi	Ascomycetes	33.3957	52.8	9120	9115	2005	Scaffold
Uncinocarpus reesii 1704	Fungi	Ascomycetes	22.3497	48.6	7856	7760	2005	Scaffold
Pongo abelii	Animals	Mammals	3065.05	40.8623	34030	49721	2018	Chromosome
Allomyces macrogynus ATCC 38327	Fungi	Other Fungi	57.0606	60.5	19132	19447	2010	Scaffold
Ichthyophthirius multifiliis	Protists	Other Protists	48.8	15.95	16426	16112	2011	Scaffold
Ancylostoma caninum	Animals	Roundworms	465.734	37	30650	30198	2018	Scaffold
Paracoccidioides brasiliensis Pb18	Fungi	Ascomycetes	29.9525	44.4	8522	8390	2008	Scaffold
Paxillus involutus ATCC 200175	Fungi	Basidiomycetes	58.3007	50	18033	17984	2015	Scaffold
Scheffersomyces stipitis CBS 6054	Fungi	Ascomycetes	15.4412	41.162	7095	7094	2007	Chromosome
Komagataella pastoris	Fungi	Ascomycetes	9.59754	41.4761	5274	5057	2016	Chromosome
Pisolithus microcarpus 441	Fungi	Basidiomycetes	53.0277	48.9	21104	20982	2015	Scaffold
Puccinia graminis f. sp. tritici CRL 75-36-700-3	Fungi	Basidiomycetes	88.7244	43.8	16304	15979	2007	Scaffold
Saccharomyces pastorianus Weihenstephan 34/70	Fungi	Ascomycetes	22.5009	39.1	-	-	2016	Scaffold
Schizophyllum commune H4-8	Fungi	Basidiomycetes	38.482	57.4	13190	13194	2010	Scaffold
Spizellomyces punctatus DAOM BR117	Fungi	Other Fungi	24.1311	47.6	9162	9422	2009	Scaffold
Sterkiella histriomuscorum	Protists	Other Protists	66.3686	28.4	-	-	2015	Contig
Ancylostoma duodenale	Animals	Roundworms	332.876	42.7	27660	27470	2015	Scaffold
Ascaris suum	Animals	Roundworms	298.028	37.7	-	-	2011	Scaffold
Helianthus annuus	Plants	Land Plants	3027.84	38.911	81567	73839	2017	Chromosome
Lactuca sativa	Plants	Land Plants	2384.19	38.6999	45960	45242	2018	Scaffold
Trichoplax adhaerens	Animals	Other Animals	105.632	34.5	11518	11520	2008	Scaffold
Biomphalaria glabrata	Animals	Other Animals	916.388	36.1998	28564	36675	2013	Scaffold
Malus domestica	Plants	Land Plants	1874.77	45.3151	58105	60549	2010	Chromosome
Saccoglossus kowalevskii	Animals	Other Animals	775.84	38.1	22086	22132	2009	Scaffold
Aspergillus flavus NRRL3357	Fungi	Ascomycetes	36.8923	48.3	13485	13485	2005	Scaffold
Cryptococcus gattii CA1873	Fungi	Basidiomycetes	17.4383	48	6782	6634	2015	Scaffold
Canis lupus dingo	Animals	Mammals	2439.83	41.4	38884	62946	2018	Scaffold
Lemur catta	Animals	Mammals	2298.45	41.1	-	-	2019	Scaffold
Taeniopygia guttata	Animals	Birds	1232.14	41.4526	17357	19447	2008	Chromosome
Oikopleura dioica	Animals	Other Animals	70.4715	40.2	17211	17152	2010	Scaffold
Ostreococcus tauri	Plants	Green Algae	13.0328	59.1984	7833	7766	2010	Chromosome
Entamoeba invadens IP1	Protists	Other Protists	40.8783	30.3	12007	11997	2006	Scaffold
Phaseolus vulgaris	Plants	Land Plants	521.077	36.2199	28134	32720	2013	Chromosome
Ambystoma mexicanum	Animals	Amphibians	32396.4	46.5211	-	-	2018	Chromosome
Physcomitrella patens	Plants	Land Plants	472.081	33.8892	23733	48022	2007	Chromosome
Prunus persica	Plants	Land Plants	227.569	37.6659	26406	32595	2013	Chromosome
Culex quinquefasciatus	Animals	Insects	579.0419999999998	38.1	17910	15089	2007	Scaffold
Papio anubis	Animals	Mammals	2959.37	41.0402	35218	66659	2012	Chromosome
Crassostrea virginica	Animals	Other Animals	684.7410000000001	34.8191	39505	60213	2017	Chromosome
Salmo salar	Animals	Fishes	2966.89	43.8912	59213	97738	2011	Chromosome
Entamoeba dispar SAW760	Protists	Other Protists	30.6332	24.1	8814	8811	2006	Scaffold
Secale cereale	Plants	Land Plants	1684.93	46.7	-	-	2016	Scaffold
Solanum tuberosum	Plants	Land Plants	705.934	35.6005	33410	37966	2011	Scaffold
Vitis vinifera	Plants	Land Plants	486.197	35.0255	29715	41004	2007	Chromosome
Ostreococcus lucimarinus CCE9901	Plants	Green Algae	13.2049	60.4431	7640	7603	2007	Complete Genome
Selaginella moellendorffii	Plants	Land Plants	212.315	45.3	37704	45247	2010	Scaffold
Galdieria sulphuraria	Other	Other	13.712	37.9	6723	7174	2013	Scaffold
Volvox carteri f. nagariensis	Plants	Green Algae	137.684	55.3	14437	14436	2010	Scaffold
Phaeodactylum tricornutum CCAP 1055/1	Other	Other	27.4507	48.8432	10398	10408	2008	Chromosome
Candida dubliniensis CD36	Fungi	Ascomycetes	14.6184	33.2489	6093	5859	2009	Complete Genome
Cryptosporidium hominis	Protists	Apicomplexans	9.06885	30.1392	3818	3817	2015	Chromosome
Nicotiana tabacum	Plants	Land Plants	3643.47	39.2006	69404	84038	2014	Scaffold
Aureococcus anophagefferens	Protists	Other Protists	56.6606	67.4	11522	11520	2011	Scaffold
Manihot esculenta	Plants	Land Plants	582.279	38.0059	31881	43286	2016	Chromosome
Callithrix jacchus	Animals	Mammals	2914.96	41.3414	35188	45251	2010	Chromosome
Aplysia californica	Animals	Other Animals	927.31	41.9999	21325	27608	2006	Scaffold
Schizosaccharomyces octosporus yFS286	Fungi	Ascomycetes	11.6345	37.9	5338	4986	2007	Scaffold
Schizosaccharomyces japonicus yFS275	Fungi	Ascomycetes	11.7332	44.1	5185	4878	2006	Scaffold
Rhodnius prolixus	Animals	Insects	706.824	37.1	-	-	2009	Scaffold
Acyrthosiphon pisum	Animals	Insects	541.692	31.1995	20711	27999	2008	Scaffold
Nasonia vitripennis	Animals	Insects	295.781	43.2193	14602	24891	2007	Chromosome
Otolemur garnettii	Animals	Mammals	2519.72	41.5	31667	32556	2006	Scaffold
Zymoseptoria tritici IPO323	Fungi	Ascomycetes	39.6863	52.1368	10964	10963	2011	Chromosome
Batrachochytrium dendrobatidis JAM81	Fungi	Other Fungi	24.3151	39.3	8700	8700	2011	Scaffold
Parastagonospora nodorum SN15	Fungi	Ascomycetes	37.214	50.3719	16114	15994	2005	Scaffold
Oryza rufipogon	Plants	Land Plants	339.177	42.5	-	-	2014	Scaffold
Oryza glaberrima	Plants	Land Plants	303.295	42.8	-	-	2010	Scaffold
Tupaia belangeri	Animals	Mammals	2137.23	41.4	-	-	2006	Contig
Ictidomys tridecemlineatus	Animals	Mammals	2478.39	40.5	25998	38592	2011	Scaffold
Nomascus leucogenys	Animals	Mammals	2962.06	41.3958	28462	38654	2010	Chromosome
Heterorhabditis bacteriophora	Animals	Roundworms	76.9743	33.9	-	-	2011	Scaffold
Lolium perenne	Plants	Land Plants	481.479	46.3	-	-	2016	Scaffold
Sclerotinia sclerotiorum 1980 UF-70	Fungi	Ascomycetes	38.4592	41.8631	14714	14490	2005	Scaffold
Fusarium verticillioides 7600	Fungi	Ascomycetes	41.8449	48.6857	16278	20574	2005	Chromosome
Botrytis cinerea B05.10	Fungi	Ascomycetes	42.6301	42.0028	11698	13703	2015	Complete Genome
Arabidopsis lyrata subsp. lyrata	Plants	Land Plants	206.823	37.5991	34280	39161	2009	Scaffold
Erythranthe guttata	Plants	Land Plants	322.1670000000001	36.3144	30291	31861	2013	Scaffold
Capsella rubella	Plants	Land Plants	133.064	35.9	29261	34126	2013	Scaffold
Aspergillus clavatus NRRL 1	Fungi	Ascomycetes	27.8594	49.2	9323	9121	2005	Scaffold
Aspergillus fischeri NRRL 181	Fungi	Ascomycetes	31.77	49.5	10599	10395	2005	Scaffold
Micromonas pusilla CCMP1545	Plants	Green Algae	21.9583	65.7	10248	10242	2009	Scaffold
Hevea brasiliensis	Plants	Land Plants	1373.53	35.7	42390	58062	2016	Scaffold
Carica papaya	Plants	Land Plants	370.419	39.0069	19933	26103	2008	Scaffold
Pediculus humanus corporis	Animals	Insects	110.781	27.9	10988	10775	2007	Scaffold
Ixodes scapularis	Animals	Other Animals	1765.38	46	24163	20467	2008	Scaffold
Aspergillus oryzae RIB40	Fungi	Ascomycetes	37.912	48.2552	12347	12074	2011	Chromosome
[Nectria] haematococca mpVI 77-13-4	Fungi	Ascomycetes	51.2865	50.8	15708	15708	2009	Scaffold
Theobroma cacao	Plants	Land Plants	324.88	34.9922	24918	30854	2016	Chromosome
Oryzias latipes	Animals	Fishes	734.057	40.8475	26846	44766	2012	Chromosome
Myotis lucifugus	Animals	Mammals	2034.58	42.7	30385	43106	2006	Scaffold
Ricinus communis	Plants	Land Plants	350.622	34.4006	24428	28584	2006	Scaffold
Ascosphaera apis ARSEF 7405	Fungi	Ascomycetes	20.3131	47	6442	6442	2016	Scaffold
Laccaria bicolor S238N-H82	Fungi	Basidiomycetes	64.8774	47.1	18264	18215	2007	Scaffold
Phycomyces blakesleeanus NRRL 1555(-)	Fungi	Other Fungi	53.9392	35.9	16850	16543	2016	Scaffold
Vigna radiata var. radiata	Plants	Land Plants	463.638	34.3983	29938	42284	2014	Chromosome
Taenia solium	Animals	Flatworms	129.811	43	-	-	2016	Scaffold
Bemisia tabaci	Animals	Insects	615.0169999999998	39.8996	15153	22737	2016	Scaffold
Callorhinchus milii	Animals	Fishes	974.499	42.5998	33094	28237	2007	Scaffold
Chlorella variabilis	Plants	Green Algae	46.1595	65.5	9780	9780	2010	Scaffold
Brachypodium distachyon	Plants	Land Plants	271.29900000000004	46.4183	31335	37892	2010	Chromosome
Chlorella vulgaris	Plants	Green Algae	37.3422	61.5	-	-	2015	Scaffold
Malassezia globosa CBS 7966	Fungi	Basidiomycetes	8.95812	52.1	4286	4286	2007	Contig
Malassezia restricta	Fungi	Basidiomycetes	7.36963	55.6659	4544	4406	2018	Complete Genome
Pyrenophora tritici-repentis Pt-1C-BFP	Fungi	Ascomycetes	37.9975	50.8	12299	12169	2007	Scaffold
Fusarium oxysporum f. sp. lycopersici 4287	Fungi	Ascomycetes	61.3869	48.4264	21326	27347	2007	Chromosome
Anolis carolinensis	Animals	Reptiles	1799.14	40.8238	22092	34827	2007	Chromosome
Monosiga brevicollis MX1	Protists	Other Protists	41.7099	54.3258	9233	9203	2007	Scaffold
Vanderwaltozyma polyspora DSM 70294	Fungi	Ascomycetes	14.6746	33	5762	5367	2007	Scaffold
Leishmania braziliensis MHOM/BR/75/M2904	Protists	Kinetoplasts	32.0688	57.7282	8460	8160	2007	Chromosome
Talaromyces stipitatus ATCC 10500	Fungi	Ascomycetes	35.6854	46.1	12566	13252	2007	Scaffold
Talaromyces marneffei ATCC 18224	Fungi	Ascomycetes	28.6439	46.7	10129	10638	2007	Scaffold
Postia placenta MAD-698-R-SB12	Fungi	Basidiomycetes	42.4529	53.5	12716	12539	2017	Scaffold
Trichoderma virens Gv29-8	Fungi	Ascomycetes	39.0227	49.2	12405	12406	2007	Scaffold
Trichoderma atroviride IMI 206040	Fungi	Ascomycetes	36.1437	49.7	11810	11816	2007	Contig
Fundulus heteroclitus	Animals	Fishes	1021.9	41.2	25849	38234	2015	Scaffold
Pteropus vampyrus	Animals	Mammals	2198.28	40.5	39553	43628	2008	Scaffold
Lutzomyia longipalpis	Animals	Insects	154.22899999999996	35.9	-	-	2012	Scaffold
Nasonia giraulti	Animals	Insects	283.607	44.3	-	-	2009	Scaffold
Nasonia longicornis	Animals	Insects	285.726	44.1	-	-	2009	Scaffold
